Index,Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Approval rate,Initially denied then approved - approval rate,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,original_decision,predicted_decision,match
117,Carrier I,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,8,100%,,,20.44,0.2,,,,,,approved,approved,True
118,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,95,99%,,,49.14,,,,,,,approved,approved,True
119,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,1,0%,,,,,,,,,,denied,denied,True
120,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9276,"Disposable sensor, CGM sys",1,0%,,,125.98,,,,,,,denied,denied,True
121,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9277,"External transmitter, CGM",1,0%,,,125.98,,,,,,,denied,denied,True
122,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,95,99%,,,49.14,,,,,,,approved,approved,True
123,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,1,0%,,,,11.1,,,,,,denied,denied,True
124,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9276,"Disposable sensor, CGM sys",1,0%,,,125.98,28.7,,,,,,denied,denied,True
125,Carrier J,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9277,"External transmitter, CGM",1,0%,,,125.98,,,,,,,denied,denied,True
126,Carrier K,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,3,100%,,15.6,57.55,,,,,,,approved,approved,True
127,Carrier K,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,3,100%,,15.6,57.55,,,,,,,approved,approved,True
128,Carrier K,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,3,0%,100%,15.6,57.55,,,,,,,denied,denied,True
129,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,7,100%,,16.6,40.26,,,,,,,approved,approved,True
130,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9274,EXTERNAL AMB INSULIN DEL SYSTEM DISPOSABLE EA,3,100%,,,47.4,,,,,,,approved,approved,True
131,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0607,HOME BLOOD GLUCOSE MONITOR,1,100%,,,95.5,,,,,,,approved,approved,True
132,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,3,67%,,,71.31,,,,,,,approved,approved,True
133,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,3,67%,,,71.31,,,,,,,approved,approved,True
134,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9278,RECEIVER MON; EXT INTERSTITIAL CONT GLU MON SYS,3,67%,,,71.31,,,,,,,approved,approved,True
135,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0784,EXTERNAL AMBULATORY INFUSION PUMP INSULIN,7,100%,,16.6,40.26,,,,,,,approved,approved,True
136,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9274,EXTERNAL AMB INSULIN DEL SYSTEM DISPOSABLE EA,3,100%,,,47.4,,,,,,,approved,approved,True
137,Carrier L,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,E0607,HOME BLOOD GLUCOSE MONITOR,1,100%,,,95.5,,,,,,,approved,approved,True
138,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5301,"BELOW KNEE, MOLDED SOCKET, SHIN, SACH FOOT, ENDOSKELETAL SYSTEM",2,100%,,0.0,36,,,,,,,approved,approved,True
139,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5620,"S/A L5618,BELOW KNEE",2,100%,,0.0,36,,,,,,,approved,approved,True
140,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5637,"ADDITION TO LOWER EXTREMITY, BELOW KNEE, TOTAL CONTACT",2,100%,,0.0,36,,,,,,,approved,approved,True
141,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5671,"ADDITION TO LOWER EXTREMITY, BELOW KNEE / ABOVE KNEE SUSPENSION LOCKING",2,100%,,0.0,36,,,,,,,approved,approved,True
142,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5673,"ADDITION TO LOWER EXTREMITY, BELOW KNEE/ABOVE KNEE, CUSTOM FABRICATED FROM EXISTING MOLD OR PREFABRICATED, SOCKET INSERT, SILICONE GEL, ELASTOMERIC OR EQUAL, FOR USE WITH LOCKING MECHANISM",2,100%,,0.0,36,,,,,,,approved,approved,True
143,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5910,"ADDITION, ENDOSKELETAL SYSTEM, BELOW KNEE, ALIGNABLE SYSTEM",2,100%,,0.0,36,,,,,,,approved,approved,True
144,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5940,"(TITANIUM, CARBON FIBER OR EQUAL) ADDITION, ENDOSKELETAL SYSTEM, BELOW KNEE, ULTRA-LIGHT MATERIAL",2,100%,,0.0,36,,,,,,,approved,approved,True
145,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,L5986,"EQUAL) ALL LOWER EXTREMITY PROSTHESES, MULTI-AXIAL ROTATION UNIT (""MCP"" OR",2,100%,,0.0,36,,,,,,,approved,approved,True
146,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E1007,"WHEELCHAIR ACCESSORY, POWER SEATING SYSTEM, COMBINATION TILT AND RECLINE, WITH MECHANICAL SHEAR REDUCTION",2,50%,,12.0,36,,,,,,,approved,approved,True
147,Carrier M,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2311,"POWER WHEELCHAIR ACCESSORY, ELECTRONIC CONNECTION BETWEEN WHEELCHAIR CONTROLLER AND TWO OR MORE POWER SEATING SYSTEM MOTORS, INCLUDING ALL RELATED ELECTRONICS, INDICATOR FEATURE, MECHANICAL FUNCTION SELECTION SWITCH, AND FIXEDMOUNTING HARDWARE",2,50%,,12.0,36,,,,,,,approved,approved,True
148,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5301,"BELOW KNEE, MOLDED SOCKET, SHIN, SACH FOOT, ENDOSKELETAL SYSTEM",2,100%,,,36,,,,,,,approved,approved,True
149,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5620,"S/A L5618,BELOW KNEE",2,100%,,,36,,,,,,,approved,approved,True
150,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5637,"ADDITION TO LOWER EXTREMITY, BELOW KNEE, TOTAL CONTACT",2,100%,,,36,,,,,,,approved,approved,True
151,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5671,"ADDITION TO LOWER EXTREMITY, BELOW KNEE / ABOVE KNEE SUSPENSION LOCKING",2,100%,,,36,,,,,,,approved,approved,True
152,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5673,"ADDITION TO LOWER EXTREMITY, BELOW KNEE/ABOVE KNEE, CUSTOM FABRICATED FROM EXISTING MOLD OR PREFABRICATED, SOCKET INSERT, SILICONE GEL, ELASTOMERIC OR EQUAL, FOR USE WITH LOCKING MECHANISM",2,100%,,,36,,,,,,,approved,approved,True
153,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5910,"ADDITION, ENDOSKELETAL SYSTEM, BELOW KNEE, ALIGNABLE SYSTEM",2,100%,,,36,,,,,,,approved,approved,True
154,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5940,"(TITANIUM, CARBON FIBER OR EQUAL) ADDITION, ENDOSKELETAL SYSTEM, BELOW KNEE, ULTRA-LIGHT MATERIAL",2,100%,,,36,,,,,,,approved,approved,True
155,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5986,"EQUAL) ALL LOWER EXTREMITY PROSTHESES, MULTI-AXIAL ROTATION UNIT (""MCP"" OR",2,100%,,,36,,,,,,,approved,approved,True
156,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L5987,"ALL LOWER EXTREMITY PROSTHESIS, SHANK FOOT SYSTEM WITH VERTICAL LOADING PYLON.",2,100%,,,36,,,,,,,approved,approved,True
157,Carrier M,2020,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,L8420,"PROSTHETIC SOCK, MULTIPLE PLY, BELOW KNEE, EACH",2,100%,,,36,,,,,,,approved,approved,True
158,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0466,HOME VENT NON-INVASIVE INTER,1,100%,,19.4,,,,,,,,approved,approved,True
159,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2599,"Accessory for speech generating device, not otherwise classified",1,100%,,,45.8,,,,,,,approved,approved,True
160,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0601,Cont Airway Pressure Device,226,95%,,,2.3,,,,,,,approved,approved,True
161,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without backup rate",10,80%,,,17.4,496,,,,,,approved,approved,True
162,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate",5,80%,,,5.4,,,,,,,approved,approved,True
163,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0748,Elec Osteogen Stim Spinal,9,56%,,,51.9,,,,,,,approved,approved,True
164,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0747,Elec Osteogen Stim Not Spine,2,50%,,,121.5,,,,,,,approved,approved,True
165,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E1399,Durable Medical Equipment Mi,10,20%,,,107.3,,,,,,,denied,denied,True
166,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0637,"Combination sit to stand system, any size, with seat lift feature, with or without wheels",2,0%,,,112.7,,,,,,,denied,denied,True
167,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E1233,"Wheelchair, Pediatric Size, Tilt-In-Space, Rigid, Adj, Wo Seating",1,0%,,,81.1,,,,,,,denied,denied,True
168,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0240,"Bath/shower chair, with or without wheels, any size",1,0%,,,,,,,,,,denied,denied,True
169,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2213,Pneumatic prop tire insert,1,0%,,,81.1,,,,,,,denied,denied,True
170,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0973,Wheelchair Adjustabl Height,1,0%,,,81.1,,,,,,,denied,denied,True
171,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0978,Wheelchair Belt W/Airplane B,1,0%,,,,,,,,,,denied,denied,True
172,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware",1,0%,,,,,,,,,,denied,denied,True
173,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2231,Solid seat support base,1,0%,,,81.1,,,,,,,denied,denied,True
174,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0445,Oximeter Device For Measuring Blood Oxygen Levels Non-Invasively,1,0%,,,,,,,,,,denied,denied,True
175,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0562,"Humidifier, heated, used with positive airway pressure device",1,0%,,,,,,,,,,denied,denied,True
176,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2221,"Manual wheelchair accessory, solid (rubber/plastic) caster tire (removable), any size, replacement only, each",1,0%,,,81.1,,,,,,,denied,denied,True
177,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2613,Position back cush wd <22in,1,0%,,,81.1,,,,,,,denied,denied,True
178,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2607,Skin pro/pos wc cus wd <22in,1,0%,,,,,,,,,,denied,denied,True
179,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0950,Tray,1,0%,,,81.1,,,,,,,denied,denied,True
180,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E8001,Upright gait trainer,1,0%,,,,,,,,,,denied,denied,True
181,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0956,"Wheelchair accessory, lateral trunk or hip support, prefabricated, including fixed mounting hardware, each",1,0%,,,,,,,,,,denied,denied,True
182,Carrier A,2020,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0957,"Wheelchair accessory, medial thigh support, prefabricated, including fixed mounting hardware, each",1,0%,,,,,,,,,,denied,denied,True
